,fund_code,fund_name,fund_type,fund_size_in_M,spk_risk_level,1M_return,3M_return,6M_return,YTD_return,1Y_return,3Y_return,5Y_return,real_1y_return,sharpe,max_loss,annual_fee,charter_annual_fee,annual_net_return,annual_max_total_expense_ratio
114,UP2,ÜNLÜ PORTFÖY ONİKİNCİ SERBEST FON,Serbest Şemsiye Fonu,1010.0,2,3.8137,12.1931,24.2388,29.9515,58.1015,,,18.41,25.6824,0.0,1.0,1.0,58.06,
115,DLY,DENİZ PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,51660.0,1,3.7879,12.1871,24.4009,30.0567,58.075,198.9703,305.867,18.39,24.7612,0.0238,1.45,0.0,58.04,1.65
116,UPP,ÜNLÜ PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,1990.0,2,3.7825,12.2124,24.1586,29.8363,57.8964,201.2359,317.9838,18.26,24.9782,0.2197,1.0,1.0,57.86,1.65
117,NSK,NEO PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,1750.0,4,3.3916,11.5354,23.9674,30.1304,57.8902,236.1286,,18.25,17.672,1.0353,4.5,4.5,57.92,0.0
118,HSL,HSBC PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,21590.0,2,3.8194,12.2368,24.3156,29.9029,57.8557,182.2194,279.9251,18.23,25.6047,0.0,1.25,1.25,57.83,1.65
119,IDL,AKTİF PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,2910.0,1,3.8204,12.2542,23.6461,29.3519,57.6902,205.1989,,18.1,24.0333,0.3393,0.95,0.95,57.65,1.65
120,GPT,AKTİF PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,58.77,4,8.0757,20.2365,29.4427,32.8767,57.6446,,,18.07,2.4301,11.028,2.0,2.0,56.56,
121,PJL,PHİLLİP PORTFÖY PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,779.52,1,3.7508,11.9043,23.8211,29.6943,57.4608,200.6194,,17.93,24.9174,0.0694,1.25,1.25,57.43,1.65
122,ICE,ICBC TURKEY PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,2020.0,1,3.7783,12.1718,24.0304,29.7047,57.429,194.4917,299.05,17.91,25.5767,0.0,1.24,1.24,57.42,1.65
123,HDA,HEDEF PORTFÖY DÖRDÜNCÜ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,686.61,2,2.8263,9.4148,26.6047,31.3216,57.2964,,,17.81,10.5023,0.4155,3.5,3.5,58.04,
124,KKL,ALLBATROSS PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,2450.0,2,4.0787,12.5848,25.6447,31.098,57.2627,,,17.78,25.3469,0.0,1.5,0.0,57.25,
125,FSH,FİBA PORTFÖY FON SEPETİ SERBEST FON,Serbest Şemsiye Fonu,328.11,5,4.3398,26.4283,22.8104,26.3903,57.0883,,,17.65,2.324,17.7562,2.95,2.95,55.17,0.0
126,FSK,QNB PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,7110.0,2,3.8583,12.43,23.9876,29.8171,57.0559,200.3008,304.9445,17.63,23.8409,0.392,1.3,1.3,57.05,0.0
127,IST,İSTANBUL PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,2910.0,1,3.7756,11.9586,24.7791,30.5622,57.0115,203.9065,322.1924,17.59,24.3402,0.3305,1.6,1.6,57.09,2.56
128,FZP,FİBA PORTFÖY SERBEST FON,Serbest Şemsiye Fonu,1040.0,2,4.0681,13.0248,24.2319,29.6716,56.9877,232.3163,,17.58,22.1129,0.222,1.2,1.2,56.85,0.0
129,ZP8,ZİRAAT PORTFÖY KEHRİBAR PARA PİYASASI KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,60360.0,1,3.7791,12.1287,24.208,29.7528,56.952,,,17.55,25.8557,0.0,0.6,0.6,56.93,0.0
130,MTX,TEB PORTFÖY METAVERSE VE DİJİTAL TEKNOLOJİLER DEĞİŞKEN FON,Değişken Şemsiye Fonu,125.28,6,6.1278,27.3775,28.4452,34.1456,56.9257,273.1543,,17.53,2.5826,16.4669,2.75,2.75,55.22,3.65
131,GBL,AZİMUT PYŞ KISA VADELİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,5150.0,1,3.7042,11.8747,23.8061,29.9126,56.9029,207.8969,327.6219,17.51,25.2362,0.0561,2.4,0.0,56.87,2.19
132,RPD,RE-PIE PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,351.34,4,6.9929,12.9687,24.0093,32.2928,56.8926,465.1231,,17.5,6.8887,2.2043,1.19,1.19,57.43,3.65
133,KZU,KUVEYT TÜRK PORTFÖY İKİNCİ ALTIN KATILIM FONU,Katılım Şemsiye Fonu,264.28,6,3.0333,4.328,29.6575,42.2549,56.8682,,,17.49,2.4976,9.9756,1.5,1.5,58.11,
134,DBK,DENİZ PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,423.18,1,3.5295,11.753,23.6063,29.1703,56.8633,183.8901,278.0049,17.48,26.1835,0.0,2.4,0.0,56.83,2.56
135,GO1,FONERİA PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,56.42,2,5.2277,15.0556,25.7636,31.6271,56.8583,,,17.48,16.7442,0.8427,2.6,2.6,57.07,4.38
136,OPF,OSMANLI PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,125.3,6,5.7701,19.5534,24.7173,31.7965,56.8228,,,17.45,4.0687,8.3297,2.75,2.75,57.29,
137,FPI,FONMAP PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,148.77,1,3.6067,11.5921,23.8421,29.4674,56.742,,,17.39,25.5066,0.011,1.0,1.0,56.84,
138,ODP,OSMANLI PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,138.94,6,4.2539,21.893,22.7478,28.76,56.7419,253.9042,,17.39,2.8024,14.5371,2.0,0.0,55.01,0.0
139,OKT,OYAK PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,91.7,3,3.7583,11.7571,24.2111,29.8271,56.6447,202.8669,322.4938,17.32,26.0009,0.0,1.50015,1.50015,56.62,3.65
140,OKP,OYAK PORTFÖY BİRİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,89.31,2,3.8427,12.3378,23.4852,29.5601,56.5751,189.3611,294.5067,17.27,23.6028,0.356,1.4,1.4,56.57,2.56
141,KVS,AZİMUT PORTFÖY KISA VADELİ SERBEST (TL) FON,Serbest Şemsiye Fonu,14610.0,1,3.9609,12.7511,26.3207,31.5658,56.5561,,,17.25,25.5798,0.0,0.38325,0.0,56.54,
142,NSA,NEO PORTFÖY PARA PİYASASI KATILIM SERBEST FON,Serbest Şemsiye Fonu,1160.0,2,3.7918,11.9896,24.0396,29.6714,56.5281,,,17.23,27.0375,0.0,1.3,1.3,56.5,
143,NJY,NUROL PORTFÖY BİRİNCİ KATILIM FONU,Katılım Şemsiye Fonu,460.04,2,3.6818,11.9484,24.0276,30.009,56.5224,260.5579,,17.23,31.6426,0.0,1.5,1.5,55.88,3.65
144,HPH,HEDEF PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,13260.0,1,3.6794,11.8286,24.2727,29.7063,56.331,,,17.08,26.0077,0.0,1.25,1.25,56.31,
145,GUB,GARANTİ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,1190.0,1,3.6504,11.4325,23.5805,28.7186,56.0845,,,16.9,25.4951,0.0,2.0,2.0,56.03,
146,OPD,OSMANLI PORTFÖY ANKA SERBEST FON,Serbest Şemsiye Fonu,45.97,7,3.5511,11.4985,23.8217,29.1287,56.0751,242.3533,406.0842,16.89,24.2056,0.2862,1.4,1.4,56.07,0.0
147,TCF,TEB PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,2620.0,3,3.7158,12.9851,23.0896,28.0503,56.0658,,,16.89,18.9223,1.0151,2.5,2.5,55.16,4.38
148,DBZ,DENİZ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,528.78,2,3.5651,11.2842,23.1526,28.6222,55.9826,186.5062,288.936,16.82,26.6951,0.0,2.0,0.0,55.95,3.65
149,MBL,MEKSA PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,20.82,2,3.6387,11.8373,23.6906,29.1138,55.9187,146.9548,212.4028,16.78,26.0906,0.0751,2.0,2.0,55.88,3.65
150,HEH,HEDEF PORTFÖY ALGO EVEREST İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,2330.0,3,2.8733,9.9442,21.2557,27.9355,55.8975,,,16.76,14.0935,0.5735,4.5,4.5,56.4,
151,MET,GARANTİ PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,Değişken Şemsiye Fonu,621.62,6,3.6397,20.4436,26.3715,34.8012,55.8229,309.9375,,16.7,2.5543,11.565,2.7,2.7,53.55,3.65
152,VMV,VEGA PORTFÖY MAVİ SERBEST FON,Serbest Şemsiye Fonu,4440.0,2,3.5277,11.6534,22.9291,28.6658,55.7162,,,16.62,31.8788,0.2749,1.0,1.0,55.68,
153,GZY,GARANTİ PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,78.8,6,0.9943,15.7282,17.9877,24.1356,55.3184,291.2588,,16.33,2.295,10.9902,2.7,2.7,54.39,3.65
154,BBF,PARDUS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,67.01,2,3.6981,12.0217,24.5793,30.4891,55.1686,,,16.21,21.1994,0.296,1.5,0.0,55.16,
155,HIM,HEDEF PORTFÖY İKİNCİ MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,418.83,2,3.0781,10.4771,22.6621,28.3183,55.0804,,,16.15,11.9342,0.657,3.75,3.75,55.85,
156,FYO,QNB PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,643.81,1,3.5983,11.4152,23.3631,28.7307,55.0562,185.0988,277.9439,16.13,25.4103,0.0,1.5,1.5,55.03,3.65
157,TBV,İŞ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,881.95,1,3.6286,11.5504,23.8866,29.1181,54.76,184.4285,289.8405,15.91,25.6403,0.0,1.75,0.0,54.74,3.65
158,GKH,GARANTİ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,6090.0,2,3.6222,11.7063,23.6984,28.988,54.6249,201.6094,,15.81,26.2531,0.0,1.0,1.0,54.6,0.0
159,OSL,OSMANLI PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,613.78,1,3.7855,11.7875,22.4525,28.2544,54.6059,176.3674,283.3529,15.79,23.8793,0.3156,0.64,0.64,54.59,2.56
160,TRO,TRIVE PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,10.33,6,2.0497,3.2886,22.6283,31.5224,54.4618,,,15.68,3.3904,7.1568,1.825,1.825,55.73,
161,AYR,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,1530.0,1,3.6117,11.3872,23.3471,28.6269,54.4252,192.6743,295.5632,15.66,25.6166,0.0,2.5,2.5,54.32,3.65
162,EKF,QİNVEST PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1030.0,3,3.7757,11.5685,23.1759,29.0101,54.2155,270.9652,408.7615,15.5,26.0813,0.0,1.25195,1.25195,54.2,3.65
163,ITP,İŞ PORTFÖY TEKNOLOJİ KARMA FON,Karma Şemsiye Fonu,932.58,6,4.6173,20.9048,22.1937,27.824,53.9804,301.2111,,15.32,2.802,11.5911,2.75,0.0,52.42,3.65
164,VNK,VEGA PORTFÖY ANKA SERBEST FON,Serbest Şemsiye Fonu,4340.0,3,2.906,11.4482,22.4438,28.523,53.8015,,,15.19,11.0081,1.8297,2.1,2.1,53.95,
165,FPK,FİBA PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,199.55,1,3.9338,11.9814,22.9507,28.2552,53.7227,174.8319,270.9823,15.13,23.5233,0.1083,2.1,2.1,53.73,2.56
166,KTR,KUVEYT TÜRK PORTFÖY BİRİNCİ KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,17180.0,1,3.7101,11.568,23.2102,28.6122,53.6221,189.3298,292.2228,15.06,26.965,0.0,1.0,1.0,53.61,3.65
167,OIR,OSMANLI PORTFÖY DENGELİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,12.53,3,3.8364,12.0318,23.9386,29.8775,53.4733,,,14.94,12.8522,1.2796,0.1,0.1,53.41,4.38
168,TOT,TEB PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,182.85,1,3.5295,11.1255,22.6642,27.8912,53.3755,173.0628,265.5679,14.87,25.4893,0.0,1.75,1.75,53.33,3.65
169,RKV,RE-PIE PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,343.56,2,3.5682,11.5054,22.8185,28.2698,53.2867,,,14.8,25.687,0.0105,1.0,1.0,53.28,
170,OJT,QNB PORTFÖY TEKNOLOJİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,3100.0,6,5.2771,25.6862,27.0082,29.4239,53.0045,320.9872,,14.59,2.0834,15.8045,2.95,2.95,51.23,4.38
171,IFV,ICBC TURKEY PORTFÖY BİRİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,17.74,2,3.2125,11.4043,21.5209,26.4097,52.9646,195.504,,14.56,15.518,1.2883,1.7,1.7,53.02,2.56
172,PVK,ALBARAKA PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,27460.0,1,3.5257,10.867,21.9491,27.2344,52.7674,185.9843,284.3664,14.42,26.2397,0.0,1.46,1.46,52.74,2.56
173,KRC,KARE PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,26.48,2,3.3902,12.2303,21.9251,27.2204,52.4966,199.7034,319.2934,14.21,20.8731,1.264,1.46,1.46,52.51,3.65
174,MPK,AKTİF PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,346.89,2,3.785,11.5275,22.5686,28.5521,52.3034,195.0064,325.7036,14.07,18.4025,0.4714,1.64,1.64,52.28,3.65
175,IDY,TEB PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,205.0,6,2.5636,13.6971,29.7114,30.3026,52.2807,244.7342,440.9191,14.05,2.9745,7.3098,2.5,2.5,49.83,3.65
176,KSK,AZİMUT PORTFÖY İKİNCİ PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,1270.0,2,3.72,11.7944,22.8275,28.2415,52.2127,,,14.0,24.8863,0.2378,1.05,0.0,52.17,
177,DTZ,AK PORTFÖY ROBOTİK TEKNOLOJİLER DEĞİŞKEN FON,Değişken Şemsiye Fonu,233.7,6,7.2997,29.0437,31.9526,32.8245,52.21,215.0923,,14.0,2.1233,14.9662,2.9,2.9,52.68,3.65
178,IKP,İŞ PORTFÖY YENİLENEBİLİR ENERJİ KARMA FON,Karma Şemsiye Fonu,437.58,6,4.8123,25.9651,33.2885,40.4229,51.9469,172.559,,13.8,2.8659,9.73,2.5,0.0,49.71,3.65
179,RTG,ATA PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,129.34,6,4.9635,23.0001,19.1636,21.4789,51.8199,,,13.71,2.1025,18.2126,2.5,2.5,50.23,3.65
180,AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,Serbest Şemsiye Fonu,145.15,1,3.6062,10.9983,22.3982,27.8,51.7135,,,13.63,26.184,0.0,1.0,0.0,51.72,
181,MPF,AKTİF PORTFÖY KISA VADELİ KİRA SERTİFİKASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1500.0,1,3.5934,11.1403,22.2911,27.402,51.6808,170.756,266.7784,13.6,26.1499,0.0,1.46,1.46,51.66,2.56
182,HPT,HSBC PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,2370.0,1,3.7036,11.8268,20.6365,26.2833,51.6219,164.9604,250.3612,13.56,19.4134,1.1707,2.37,2.37,51.63,2.56
183,ILZ,İŞ PORTFÖY TEMKİNLİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,883.41,2,3.4223,13.2955,19.1477,25.0796,51.5146,264.1337,,13.48,9.3802,4.0471,2.5,0.0,51.16,4.38
184,YBS,YAPI KREDİ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,1330.0,1,3.4634,10.7185,21.6425,27.1526,51.5049,181.1973,289.8483,13.47,25.6733,0.1468,1.825,1.825,51.31,3.65
185,TPC,TEB PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,665.57,6,1.6579,16.35,28.2313,36.4359,51.324,192.4842,477.2059,13.33,3.6522,6.1104,1.95,1.95,51.69,4.38
186,YAY,YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,7510.0,6,2.6555,30.8181,18.9573,22.8904,51.3103,231.4002,783.8807,13.32,1.6269,26.612,3.2485,3.25,49.91,3.65
187,KSV,KUVEYT TÜRK PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,47650.0,1,3.4906,10.7932,21.576,26.618,51.2277,183.3361,279.2516,13.26,26.283,0.0,1.4,1.4,51.21,
188,ZBI,ZİRAAT PORTFÖY ÇOKLU VARLIK BİRİNCİ KATILIM FONU,Katılım Şemsiye Fonu,90.34,2,4.1917,12.0776,22.4839,27.0817,51.2104,,,13.25,16.0881,0.8923,2.0,2.0,50.59,
189,VFK,ZİRAAT PORTFÖY İKİNCİ KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,5030.0,1,3.6323,11.1319,22.2536,27.2726,51.1398,173.7957,271.9369,13.2,26.0473,0.0,1.5,1.5,51.13,2.555
190,GZP,GARANTİ PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,2670.0,3,3.6807,14.7889,24.8731,30.8837,51.1294,261.014,,13.19,7.5409,1.9549,1.9,1.9,50.76,4.38
191,MTV,AK PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,132.41,6,5.0211,20.8641,28.3046,33.8947,51.1143,269.5779,,13.18,2.7022,10.7232,2.9,2.9,50.11,3.65
192,SPN,AZİMUT PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,1610.0,2,3.369,9.9464,24.3328,28.1822,51.0353,237.9245,445.4172,13.12,13.725,0.6822,3.2,0.0,51.95,
193,TPF,TACİRLER PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,81.66,3,3.5163,12.2728,22.5685,27.9153,51.0189,126.3604,248.4951,13.11,16.4677,0.9537,1.25,1.25,51.42,3.65
194,TFF,TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,1100.0,6,2.5724,17.7885,11.0732,16.9683,50.883,240.0943,766.3131,13.0,1.944,22.9757,2.1,2.1,49.89,4.38
195,IJP,İŞ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,Karma Şemsiye Fonu,502.2,6,3.1208,18.6765,21.3719,29.4041,50.8141,288.114,,12.95,2.9705,10.7679,2.75,0.0,49.98,3.65
196,GAH,GARANTİ PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,342.81,3,3.4674,13.8348,23.7946,30.1494,50.7795,266.4132,488.1399,12.93,7.5676,2.114,2.7,2.7,50.32,3.65
197,IAU,PARDUS PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,61.71,5,3.1133,9.7078,21.0907,26.3305,50.6765,,,12.85,4.2598,4.7271,1.5,0.0,51.36,
198,GO2,FONERİA PORTFÖY KATILIM FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,20.72,3,4.1483,11.7469,23.1538,29.4292,50.5495,,,12.75,11.4223,1.2522,2.6,2.6,50.04,4.38
199,TE3,TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,543.69,2,4.7007,16.7773,22.3302,27.91,50.5331,229.8719,393.1332,12.74,6.4909,4.9081,1.65,1.65,50.77,3.65
200,RBT,ALBARAKA PORTFÖY KİRA SERTİFİKALARI  KATILIM FONU,Katılım Şemsiye Fonu,169.85,1,3.5746,11.0444,21.8263,26.8832,50.4747,164.0768,243.9014,12.7,26.1967,0.0,1.0,1.0,50.47,3.65
201,AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,5340.0,6,3.4471,19.592,18.216,23.3567,50.2079,244.1127,903.6085,12.5,2.0402,18.2911,2.9,2.9,47.87,3.65
202,GLS,AZİMUT PORTFÖY  KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,Katılım Şemsiye Fonu,90.8,2,3.615,11.5677,21.7105,26.2112,50.1235,185.0028,302.6389,12.44,17.9702,0.3252,2.4,0.0,50.03,3.65
203,TGR,AK PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,155.73,6,2.6891,18.4601,16.6902,24.2772,50.0683,258.3702,,12.39,2.2019,15.3616,2.9,2.9,49.46,3.65
204,SUA,ÜNLÜ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,1280.0,3,4.318,13.6931,23.7537,29.1543,49.9479,251.1172,491.669,12.3,12.4883,1.8593,2.0,2.0,49.83,3.65
205,GPB,GARANTİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,972.48,2,3.2803,11.9029,21.879,27.5622,49.9008,189.9421,315.6253,12.27,12.9698,1.7529,2.5,2.5,49.74,3.65
206,GYK,INVEO PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,72.76,2,3.3083,12.3426,21.7687,27.0906,49.8037,198.5041,315.5272,12.2,19.5666,0.6904,1.5,1.5,49.97,3.65
207,IV8,INVEO PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,12.17,2,3.5729,10.6079,20.9502,25.8559,49.7982,,,12.19,13.2104,1.7681,1.5,1.5,49.78,
208,PBR,PUSULA PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,17.19,4,-0.408,10.8351,21.8228,27.2352,49.7511,,,12.16,4.4674,6.2622,1.75,1.75,49.75,
209,RBV,ALBARAKA PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,5310.0,1,3.6217,10.4416,21.173,26.1687,49.7497,171.9173,265.2952,12.16,24.8885,0.2102,1.5,1.5,49.73,2.56
210,GPI,GARANTİ PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,613.13,3,3.3547,13.7188,23.2259,29.5212,49.6268,267.3628,535.2793,12.06,7.3753,2.1801,2.5,2.5,49.18,3.65
211,NHP,NEO PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,3.94,4,3.9597,11.5079,19.8598,24.1648,49.5032,255.4579,,11.97,7.0822,4.2408,2.0,2.0,49.01,4.38
212,KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,47230.0,1,3.491,10.7409,21.1071,26.0445,49.4638,168.364,,11.94,26.116,0.0,1.3,1.3,49.44,1.65
213,GPU,GARANTİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,266.9,4,3.3313,15.0402,22.6167,28.0768,49.3975,276.6811,602.0335,11.89,4.4604,5.0458,2.5,2.5,48.85,3.65
214,IJH,ICBC TURKEY PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,58.89,3,3.7357,10.9349,19.2486,23.4611,49.3171,305.4529,,11.83,8.5865,1.8926,0.75,0.75,49.13,4.38
215,FNO,QNB PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,7690.0,4,4.1874,13.9043,25.9077,32.459,49.3004,245.9073,526.9643,11.82,7.9443,1.7212,2.0075,2.0075,48.87,3.65
216,DPK,DENİZ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,747.63,1,3.5042,10.1433,20.926,25.9103,49.2888,175.6307,271.9764,11.81,24.0555,0.3124,1.1,0.0,49.26,3.65
217,ZBO,ZİRAAT PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,1220.0,6,4.2089,19.4868,20.8838,24.6959,49.2635,162.1727,,11.79,2.1448,11.2098,2.5,2.5,49.53,0.0
218,ZPG,ZİRAAT PORTFÖY KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,Katılım Şemsiye Fonu,928.72,2,3.5795,10.6816,21.3877,26.286,49.1994,181.2295,292.3247,11.74,27.0218,0.0,1.50015,1.50015,49.16,3.65
219,KTV,KUVEYT TÜRK PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,19700.0,1,3.4732,10.2976,20.8167,25.7377,49.1093,164.7696,252.826,11.68,26.1669,0.0,1.5,1.5,49.08,2.56
220,KTJ,KUVEYT TÜRK PORTFÖY TEKNOLOJİ KATILIM FONU,Katılım Şemsiye Fonu,626.15,6,1.982,20.1716,25.8583,30.1681,48.9159,,,11.53,2.1051,13.0797,2.4,2.4,47.44,
