,fund_code,fund_name,fund_type,fund_size_in_M,spk_risk_level,1M_return,3M_return,6M_return,YTD_return,1Y_return,3Y_return,5Y_return,real_1y_return,sharpe,max_loss,annual_fee,charter_annual_fee,annual_net_return,annual_max_total_expense_ratio
781,MD1,MT PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,7.87,4,7.0773,19.0303,22.3692,27.4659,,,,,,,2.36,0.0,0.0,
782,MTH,MT PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,9.18,6,7.513,21.0854,17.1233,22.0163,,,,,,,2.73,0.0,0.0,
783,MTF,MT PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,42.08,7,2.2156,,,,,,,,,,3.15,0.0,0.0,
784,MT1,MT PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,21.99,7,2.4903,4.9764,7.6568,,,,,,,,0.79,0.0,0.0,
785,MD2,MT PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,14.56,4,7.3127,14.5449,23.0986,,,,,,,,3.1,0.0,0.0,
786,MTK,MT PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,4.48,6,5.8801,,,,,,,,,,2.41,0.0,0.0,
787,MPL,MT PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,493.38,1,3.8772,12.3138,24.874,30.9145,,,,,,,0.735,0.0,0.0,
788,NFF,NEO PORTFÖY FON SEPETİ SERBEST FON,Serbest Şemsiye Fonu,57.21,7,5.7585,17.2772,20.955,,,,,,,,1.5,1.5,0.0,
789,NKC,NEO PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,,6,,,,,,,,,,,2.8,2.8,0.0,
790,KPF,NEO PORTFÖY KAPADOKYA HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,859.2,7,3.1309,10.0779,,,,,,,,,4.0,4.0,0.0,
791,NKP,NEO PORTFÖY KAR PAYI ÖDEYEN DEĞİŞKEN FON,Değişken Şemsiye Fonu,47.98,4,,,,,,,,,,,3.0,3.0,0.0,
792,NKA,NEO PORTFÖY KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,66.89,7,2.6078,6.2754,,,,,,,,,1.0,1.0,0.0,
793,NTI,NEO PORTFÖY TEKNOLOJİ VE İNOVASYON DEĞİŞKEN FON,Değişken Şemsiye Fonu,8.83,4,,,,,,,,,,,3.0,3.0,0.0,
794,NUB,NUROL PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,1840.0,7,0.9868,8.7755,29.1611,31.3206,,,,,,,0.75,0.0,0.0,
795,NPH,NUROL PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,275.6,6,9.4669,15.0091,25.5129,22.5522,,,,,,,2.75,0.0,0.0,
